avg_ipt,bytes_in,bytes_out,dest_ip,dest_port,entropy,num_pkts_out,num_pkts_in,proto,src_ip,src_port,time_end,time_start,total_entropy,label,duration
0,0,0,786,51592,0,1,0,6,786,9200,1.61276E+15,1.61276E+15,0,benign,0
0,0,379,786,51574,7.043326,2,0,6,786,9200,1.61276E+15,1.61276E+15,2669.4207,benign,0.009554
0,0,2466,786,9200,5.028042,2,0,6,786,51574,1.61276E+15,1.61276E+15,12399.152,benign,7.00E-06
0,0,380,786,51594,7.094213,1,0,6,786,9200,1.61276E+15,1.61276E+15,2695.801,benign,0
0,0,0,786,9200,0,1,0,6,786,51594,1.61276E+15,1.61276E+15,0,benign,0
0,0,0,786,9200,0,1,0,6,786,51574,1.61276E+15,1.61276E+15,0,benign,0
0,0,89,786,58949,3.710605,1,0,6,786,445,1.61276E+15,1.61276E+15,330.24387,malicious,0
0,0,16,786,5900,4,1,0,6,786,34472,1.61276E+15,1.61276E+15,64.00001,outlier,0
0,0,4,786,34472,0.811278,2,1,6,786,5900,1.61276E+15,1.61276E+15,3.245112,outlier,0.060581
0,0,0,786,445,0,2,1,6,786,50295,1.61276E+15,1.61276E+15,0,outlier,0.061599
0,0,0,786,445,0,1,1,6,786,50044,1.61276E+15,1.61276E+15,0,outlier,2.78E-04
0,0,0,786,5900,0,1,1,6,786,38467,1.61276E+15,1.61276E+15,0,outlier,0
25.5,270,191,786,445,4.554483,2,4,6,786,50295,1.61276E+15,1.61276E+15,2099.6167,outlier,0.104228
0,0,0,786,445,0,1,0,6,786,50044,1.61276E+15,1.61276E+15,0,outlier,0
0,0,0,786,34472,0,2,0,6,786,5900,1.61276E+15,1.61276E+15,0,outlier,0.108432
0,0,0,786,5900,0,1,0,6,786,38467,1.61276E+14,1.61276E+14,0,outlier,0
0,0,12,786,38467,2.918296,1,0,6,786,5900,1.61276E+15,1.61276E+15,35.019554,outlier,0
0,0,3086,786,9200,4.965065,3,0,6,786,51592,1.61276E+15,1.61276E+15,15322.19,benign,6.81E-04
0,0,5982,786,9200,3.822992,5,0,6,786,51600,1.61276E+15,1.61276E+15,22869.139,benign,5.27E-04
0,0,2,786,30127,1,1,0,6,786,5900,1.61276E+15,1.61276E+15,2,outlier,0
0,0,7240,786,9200,3.090429,5,0,6,786,51600,1.61276E+15,1.61276E+14,22374.705,benign,7.30E-05
0,0,7240,786,9200,3.166787,5,0,6,786,51592,1.61276E+15,1.61276E+15,22927.535,benign,7.60E-05
0,0,2896,786,9200,4.793347,2,2,6,786,51592,1.61276E+15,1.61276E+15,13881.532,benign,4.43E-04
0,0,0,786,51600,0,2,0,6,786,9200,1.61276E+15,1.61276E+15,0,benign,0
0,0,4534,786,9200,4.553187,4,0,6,786,51590,1.61276E+15,1.61276E+15,20644.148,benign,1.30E-04
0,0,8688,786,9200,2.691391,6,3,6,786,51590,1.61276E+15,1.61276E+14,23382.809,benign,3.81E-04
0,0,190,786,9200,5.141381,1,0,6,786,51598,1.61276E+15,1.61276E+15,976.8624,benign,0
0,0,13032,786,9200,2.034245,9,0,6,786,51598,1.61276E+15,1.61276E+15,26510.281,benign,1.19E-04
0,0,190,786,9200,5.134828,1,0,6,786,51594,1.61276E+15,1.61276E+15,975.6173,benign,0
0,0,13032,786,9200,2.046066,9,0,6,786,51594,1.61276E+14,1.61276E+15,26664.326,benign,1.99E-04
0,0,190,786,9200,5.151908,1,0,6,786,51574,1.61276E+15,1.61276E+15,978.8625,benign,0
0,0,0,786,51598,0,2,0,6,786,9200,1.61276E+15,1.61276E+15,0,benign,5.00E-05
0,0,11584,786,9200,2.216403,8,0,6,786,51574,1.61276E+15,1.61276E+15,25674.807,benign,8.60E-05
0,0,1448,786,9200,4.717458,1,0,6,786,51574,1.61276E+15,1.61276E+15,6830.8794,benign,0
0,0,0,786,51594,0,2,0,6,786,9200,1.61276E+15,1.61276E+15,0,benign,1.12E-04
0,0,10136,786,9200,2.465292,7,0,6,786,51600,1.61276E+15,1.61276E+15,24988.197,benign,7.70E-05
0,0,11584,786,9200,2.219569,8,0,6,786,51600,1.61276E+15,1.61276E+14,25711.484,benign,1.22E-04
0,0,0,786,51574,0,2,0,6,786,9200,1.61276E+15,1.61276E+15,0,benign,0
0,0,1612,786,9200,4.909636,2,4,6,786,51600,1.61276E+15,1.61276E+15,7914.3325,benign,2.49E-04
0,0,5792,786,9200,3.721289,4,0,6,786,51592,1.61276E+15,1.61276E+15,21553.707,benign,7.80E-05
0,0,13032,786,9200,2.040884,9,0,6,786,51592,1.61276E+15,1.61276E+15,26596.803,benign,3.50E-04
0,0,0,786,51600,0,1,0,6,786,9200,1.61276E+15,1.61276E+15,0,benign,0
0,0,3758,786,9200,4.99837,3,3,6,786,51592,1.61276E+15,1.61276E+15,18783.875,benign,2.95E-04
0,0,5792,786,9200,3.750859,4,0,6,786,51590,1.61276E+15,1.61276E+15,21724.975,benign,6.00E-05
0,0,11584,786,9200,2.20561,8,1,6,786,51590,1.61276E+15,1.61276E+15,25549.787,benign,2.14E-04
0,0,0,786,51592,0,1,0,6,786,9200,1.61276E+15,1.61276E+15,0,benign,0
0,0,3269,786,9200,4.976681,3,2,6,786,51590,1.61276E+15,1.61276E+15,16268.77,benign,1.06E-04
0,0,7240,786,9200,3.144395,5,0,6,786,51598,1.61276E+15,1.61276E+15,22765.422,benign,8.00E-05
0,0,0,786,51590,0,2,0,6,786,9200,1.61276E+15,1.61276E+15,0,benign,5.30E-05
0,0,11584,786,9200,2.254746,8,0,6,786,51598,1.61276E+15,1.61276E+15,26118.982,benign,2.18E-04
0,0,10136,786,9200,2.507581,7,2,6,786,51598,1.61276E+15,1.61276E+15,25416.838,benign,2.05E-04
0,0,1448,786,9200,4.625119,1,0,6,786,51594,1.61276E+15,1.61276E+15,6697.173,benign,0
0,0,14480,786,9200,1.866203,10,0,6,786,51594,1.61276E+15,1.61276E+15,27022.615,benign,2.05E-04
0,0,7686,786,9200,3.087488,6,0,6,786,51594,1.61276E+14,1.61276E+15,23730.434,benign,7.60E-05
0,0,2896,786,9200,4.889075,2,0,6,786,51574,1.61276E+14,1.61276E+15,14158.762,benign,2.20E-05
0,0,0,786,51598,0,2,0,6,786,9200,1.61276E+15,1.61276E+15,0,benign,0
0,0,13032,786,9200,2.021948,9,0,6,786,51574,1.61276E+13,1.61276E+15,26350.021,benign,1.74E-04
0,0,0,786,51594,0,1,0,6,786,9200,1.61276E+15,1.61276E+15,0,benign,0
0,0,7008,786,9200,3.321916,5,2,6,786,51574,1.61276E+15,1.61276E+15,23279.99,benign,4.95E-04
0,0,0,786,58894,0,1,0,6,786,445,1.61276E+15,1.61276E+15,0,malicious,0
0,0,0,786,51594,0,1,0,6,786,9200,1.61276E+15,1.61276E+15,0,benign,0
0,0,6703,786,9200,3.435611,5,0,6,786,51598,1.61276E+15,1.61276E+14,23028.904,benign,8.80E-05
0,0,5982,786,9200,3.729222,5,0,6,786,51596,1.61276E+15,1.61276E+15,22308.203,benign,1.22E-04
0,0,10136,786,9200,2.39679,7,2,6,786,51596,1.61276E+15,1.61276E+15,24293.863,benign,5.21E-04
0,0,0,786,51598,0,1,0,6,786,9200,1.61276E+15,1.61276E+15,0,benign,0
0,0,14480,786,9200,1.875418,10,0,6,786,51596,1.61276E+15,1.61276E+15,27156.055,benign,1.09E-04
0,0,9436,786,9200,2.65352,7,3,6,786,51596,1.61276E+13,1.61276E+14,25038.613,benign,8.90E-04
0,0,0,786,51596,0,1,0,6,786,9200,1.61276E+15,1.61276E+15,0,benign,0
0,0,11775,786,9200,2.398813,9,0,6,786,51602,1.61276E+15,1.61276E+15,28246.02,benign,1.71E-04
0,0,13032,786,9200,2.376834,9,1,6,786,51602,1.61276E+15,1.61276E+15,30974.896,benign,6.58E-04
0,0,14480,786,9200,2.161071,10,0,6,786,51602,1.61276E+15,1.61276E+14,31292.303,benign,6.70E-05
0,0,13032,786,9200,2.292614,9,1,6,786,51602,1.61276E+15,1.61276E+15,29877.342,benign,5.08E-04
0,0,14480,786,9200,2.1492,10,0,6,786,51602,1.61276E+15,1.61276E+15,31120.418,benign,8.40E-05
0,0,13032,786,9200,2.128917,9,1,6,786,51602,1.61276E+15,1.61276E+15,27744.053,benign,2.04E-04
0,11584,0,786,51602,2.132413,2,8,6,786,9200,1.61276E+15,1.61276E+15,24701.87,benign,1.83E-04
0,0,14480,786,9200,1.814254,10,0,6,786,51602,1.61276E+15,1.61276E+15,26270.395,benign,2.60E-05
0,0,14480,786,9200,2.045534,10,0,6,786,51602,1.61276E+14,1.61276E+15,29619.338,benign,5.90E-05
0,0,14480,786,9200,2.154719,10,0,6,786,51602,1.61276E+15,1.61276E+15,31200.33,benign,2.80E-05
0,0,14480,786,9200,1.90009,10,0,6,786,51602,1.61276E+15,1.61276E+15,27513.303,benign,7.30E-05
0,0,14480,786,9200,2.026378,10,0,6,786,51602,1.61276E+15,1.61276E+15,29341.953,benign,2.80E-05
0,0,11584,786,9200,2.469606,8,2,6,786,51602,1.61276E+15,1.61276E+15,28607.914,benign,0.001244
0,11584,0,786,51602,2.62342,2,8,6,786,9200,1.61276E+15,1.61276E+15,30389.691,benign,1.52E-04
0,0,0,786,51602,0,1,0,6,786,9200,1.61276E+15,1.61276E+15,0,benign,0
0,0,1162,786,9200,5.322561,1,0,6,786,51596,1.61276E+15,1.61276E+15,6184.8164,benign,0
0,0,0,786,9200,0,1,0,6,786,51574,1.61276E+15,1.61276E+15,0,benign,0
0,0,12,786,5900,2.918296,1,0,6,786,40720,1.61276E+15,1.61276E+15,35.019554,outlier,0
0,0,0,786,445,0,1,0,6,786,50316,1.61276E+15,1.61276E+15,0,outlier,0
0,0,348,786,51574,6.904666,1,0,6,786,9200,1.61276E+15,1.61276E+15,2402.824,benign,0
0,0,0,786,445,0,1,1,6,786,50330,1.61276E+14,1.61276E+14,0,outlier,0
0,0,1002,786,9200,5.35325,1,0,6,786,51594,1.61276E+15,1.61276E+15,5363.9565,benign,0
0,0,13032,786,9200,2.348368,9,1,6,786,51596,1.61276E+15,1.61276E+14,30603.934,benign,7.60E-05
0,0,13032,786,9200,2.286943,9,1,6,786,51596,1.61276E+15,1.61276E+15,29803.441,benign,5.30E-05
0,0,13032,786,9200,2.348311,9,1,6,786,51602,1.61276E+15,1.61276E+15,30603.186,benign,6.30E-05
0,0,0,786,9200,0,1,0,6,786,51594,1.61276E+15,1.61276E+15,0,benign,0
0,0,0,786,38467,0,1,0,6,786,5900,1.61276E+15,1.61276E+15,0,outlier,0
0,0,8991,786,9200,2.735809,7,0,6,786,51594,1.61276E+15,1.61276E+15,24597.658,benign,7.10E-05
0,0,0,786,445,0,1,1,6,786,58949,1.61276E+15,1.61276E+15,0,malicious,2.47E-04
0,11584,0,786,51596,2.406735,2,8,6,786,9200,1.61276E+15,1.61276E+14,27879.623,benign,6.40E-05
0,0,13032,786,9200,2.348351,9,1,6,786,51574,1.61276E+15,1.61276E+15,30603.707,benign,6.20E-05
0,0,14480,786,9200,2.013325,10,0,6,786,51574,1.61276E+15,1.61276E+15,29152.941,benign,4.10E-05
0,0,13032,786,9200,1.934072,9,1,6,786,51574,1.61276E+14,1.61276E+15,25204.832,benign,1.48E-04
0,0,13032,786,9200,1.959996,9,1,6,786,51574,1.61276E+15,1.61276E+15,25542.664,benign,6.70E-05
0,0,13032,786,9200,2.266904,9,1,6,786,51574,1.61276E+15,1.61276E+15,29542.291,benign,8.00E-05
0,0,0,786,5900,0,1,0,6,786,34472,1.61276E+15,1.61276E+15,0,outlier,0
0,0,12,786,40720,2.918296,1,0,6,786,5900,1.61276E+15,1.61276E+15,35.019554,outlier,0
0,0,14480,786,9200,1.961181,10,0,6,786,51602,1.61276E+15,1.61276E+15,28397.902,benign,6.50E-05
0,0,1448,786,9200,5.192019,1,0,6,786,51600,1.61276E+15,1.61276E+15,7518.0435,benign,0
0,0,140,786,445,3.876255,1,1,6,786,50316,1.61276E+15,1.61276E+15,542.67566,outlier,7.40E-04
0,0,181,786,50316,4.766273,1,0,6,786,445,1.61276E+15,1.61276E+15,862.6955,outlier,0
0,0,0,786,445,0,1,1,6,786,50316,1.61276E+15,1.61276E+15,0,outlier,4.89E-04
0,0,1637,786,9200,5.163187,2,0,6,786,51600,1.61276E+15,1.61276E+15,8452.137,benign,6.40E-05
0,11584,0,786,51574,2.065788,2,8,6,786,9200,1.61276E+14,1.61276E+15,23930.084,benign,2.96E-04
0,0,89,786,50322,3.710605,1,0,6,786,445,1.61276E+15,1.61276E+15,330.24387,outlier,0
0,0,89,786,50330,3.710605,1,0,6,786,445,1.61276E+14,1.61276E+14,330.24387,outlier,0
0,0,14480,786,9200,1.913401,10,0,6,786,51602,1.61276E+15,1.61276E+15,27706.053,benign,1.48E-04
0,0,14480,786,9200,1.923144,10,0,6,786,51602,1.61276E+15,1.61276E+13,27847.13,benign,4.80E-05
0,0,2764,786,9200,4.999048,2,5,6,786,51602,1.61276E+15,1.61276E+15,13817.368,benign,2.78E-04
0,0,0,786,445,0,1,0,6,786,50303,1.61276E+15,1.61276E+15,0,outlier,0
0,0,16,786,30127,4,2,0,6,786,5900,1.61276E+15,1.61276E+15,64.00001,outlier,3.91E-04
0,0,2,786,38467,1,2,0,6,786,5900,1.61276E+15,1.61276E+15,2,outlier,3.54E-04
0,0,0,786,22,0,1,1,6,786,46292,1.61276E+15,1.61276E+15,0,malicious,0
7,89,51,786,445,3.767107,2,2,6,786,50303,1.61276E+15,1.61276E+15,527.3949,outlier,0.015321
0,0,0,786,445,0,1,1,6,786,50303,1.61276E+14,1.61276E+15,0,outlier,5.17E-04
0,0,571,786,9200,4.882244,1,1,6,786,51600,1.61276E+15,1.61276E+15,2787.7615,benign,7.90E-04
0,0,0,786,38467,0,1,0,6,786,5900,1.61276E+15,1.61276E+15,0,outlier,0
0,0,51,786,445,3.104459,2,1,6,786,50309,1.61276E+15,1.61276E+14,158.32741,outlier,7.25E-04
0,0,0,786,445,0,1,0,6,786,50303,1.61276E+15,1.61276E+15,0,outlier,0
2,23,0,786,22,3.82791,1,1,6,786,46292,1.61276E+15,1.61276E+15,88.04193,malicious,0.002418
21.66666667,544,972,786,22,4.91551,3,3,6,786,46292,1.61276E+14,1.61276E+15,7451.9126,malicious,0.066006
0,0,16,786,5900,3.75,1,1,6,786,40720,1.61276E+15,1.61276E+15,60.000008,outlier,1.21E-04
0,0,89,786,50309,3.710605,1,0,6,786,445,1.61276E+15,1.61276E+15,330.24387,outlier,0
0,0,0,786,9200,0,1,0,6,786,51600,1.61276E+15,1.61276E+15,0,benign,0
0,0,326,786,51602,6.869626,1,0,6,786,9200,1.61276E+15,1.61276E+15,2239.498,benign,0
0,0,326,786,51596,6.85642,1,0,6,786,9200,1.61276E+15,1.61276E+15,2235.1929,benign,0
0,0,0,786,9200,0,1,0,6,786,51602,1.61276E+15,1.61276E+15,0,benign,0
0,0,0,786,9200,0,1,0,6,786,51594,1.61276E+15,1.61276E+15,0,benign,0
0,0,14480,786,9200,2.10585,10,0,6,786,51574,1.61276E+14,1.61276E+15,30492.71,benign,6.70E-05
0,0,4,786,30127,0.811278,1,0,6,786,5900,1.61276E+15,1.61276E+15,3.245112,outlier,0
0,0,14480,786,9200,1.8831,10,0,6,786,51594,1.61276E+15,1.61276E+15,27267.287,benign,9.80E-05
0,0,0,786,5900,0,1,1,6,786,36834,1.61276E+15,1.61276E+15,0,outlier,0
0,96,112,786,22,7.025431,2,3,6,786,46292,1.61276E+15,1.61276E+15,1461.2896,malicious,0.001094
0,0,0,786,445,0,1,0,6,786,50309,1.61276E+15,1.61276E+15,0,outlier,0
